Input_Text,Process_Text,Status,Before Replace,After Replace
"এটা.. খুব.. জরুরি!!""","এটা . খুব . জরুরি! """,False,"['এটা..', 'খুব..', 'জরুরি!!""']","['এটা .', 'খুব .', 'জরুরি! ""']"
তারা একসাথে আছে...,তারা একসাথে আছে . ,False,['আছে...'],['আছে .']
আমি পড়তে ভালোবাসি...,আমি পড়তে ভালোবাসি . ,False,['ভালোবাসি...'],['ভালোবাসি .']
সেখানে একটি বাড়ি আছে...,সেখানে একটি বাড়ি আছে . ,False,['আছে...'],['আছে .']
আমি এটা পছন্দ করি না...,আমি এটা পছন্দ করি না . ,False,['না...'],['না .']
আমি খুব খুশি!!!,আমি খুব খুশি!,False,['খুশি!!!'],['খুশি!']
এটি একটি #টেকনোলজি কনফারেন্স।,এটি একটি টেকনোলজি কনফারেন্স।,False,['#টেকনোলজি'],['টেকনোলজি']
"দয়া !@করে #পবিত্র &)কুরআনুল *কারিম বলেন,,,,পবিত্র কথাটা অবশ্যই বলবেন,,, প্লিজ","দয়া! এট দা রেট করে পবিত্র এবং কুরআনুল *কারিম বলেন, পবিত্র কথাটা অবশ্যই বলবেন, প্লিজ",False,"['দয়া', '!@করে', '#পবিত্র', '&)কুরআনুল', 'বলেন,,,,পবিত্র', 'বলবেন,,,']","['দয়া!', 'এট দা রেট', 'করে', 'পবিত্র এবং', 'কুরআনুল', 'বলেন, পবিত্র', 'বলবেন,']"
"মার্চ ২৫, 1996 তারিখের কনসার্ট টিকেটগুলি দ্রুত বিক্রয় হচ্ছে",মার্চ পঁচিশ উনিশশো ছিয়ানব্বই তারিখের কনসার্টটিকেটগুলি দ্রুত বিক্রয় হচ্ছে,False,"['২৫, 1996', 'কনসার্ট টিকেটগুলি']","['পঁচিশ উনিশশো ছিয়ানব্বই', 'কনসার্টটিকেটগুলি']"
মার্চ ২৫% তারিখের কনসার্ট টিকেটগুলি দ্রুত বিক্রয় হচ্ছে,মার্চ পঁচিশ পারসেন্ট তারিখের কনসার্টটিকেটগুলি দ্রুত বিক্রয় হচ্ছে,False,"['২৫%', 'কনসার্ট টিকেটগুলি']","['পঁচিশ পারসেন্ট', 'কনসার্টটিকেটগুলি']"
র‍্যাব,র‍্যাব,True,[],[]
বাংলা​,বাংলা​,True,[],[]
র‍্য,র‍্য,True,[],[]
ম‍ধ্য,মধ্য,False,['ম\u200dধ্য'],['মধ্য']
তিনি একটি মেল পাঠিয়েছেন @example.com।,তিনি একটি মেল পাঠিয়েছেন এট দা রেট example ডট কম ।,False,['@example.com।'],['এট দা রেট example ডট কম ।']
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে ৭০০০টির বেশি হিসাব খোলেন,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে সাত হাজারটির বেশি হিসাব খোলেন,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর', '৭০০০টির']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর', 'সাত হাজারটির']"
১৯৮৭-র ১৯৯৫ সালে,উনিশশো সাতাশি এর উনিশশো পঁচানব্বই সালে,False,['১৯৮৭-র ১৯৯৫'],['উনিশশো সাতাশি এর উনিশশো পঁচানব্বই']
এয়ারলাইনসসহ তিনটি এয়ারলাইনসের ৫১টি ফ্লাইটে মো: ২০ হাজার ২৯১ জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে ৮৫ হাজার ২৫৭ জনের সৌদি আরবে যাওয়ার কথা রয়েছে,এয়ারলাইনসসহ তিনটি এয়ারলাইনসের একান্নটি ফ্লাইটে মোহাম্মদ বিশ হাজার দুইশো একানব্বই জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে পঁচাশি হাজার দুইশো সাতান্ন জনের সৌদি আরবে যাওয়ার কথা রয়েছে,False,"['৫১টি', 'মো: ২০', '২৯১', '৮৫', '২৫৭']","['একান্নটি', 'মোহাম্মদ বিশ', 'দুইশো একানব্বই', 'পঁচাশি', 'দুইশো সাতান্ন']"
"উদাহরণস্বরূপ, 1969-2024 আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো-গ-12-1212  চট্টগ্রাম-গ-12-1212 এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার 2001011325989 চট্ট-গ-12-1212""","উদাহরণস্বরূপ, এক হাজার নয়শো ঊনসত্তর - দুই হাজার চব্বিশ আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো গ বারো দশমিক এক দুই এক দুই চট্টগ্রাম গ বারো দশমিক এক দুই এক দুই এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই চট্ট গ বারো দশমিক এক দুই এক দুই""",False,"['1969-2024', 'মেট্রো-গ-12-1212 চট্টগ্রাম-গ-12-1212', '2001011325989 চট্ট-গ-12-1212""']","['এক হাজার নয়শো ঊনসত্তর - দুই হাজার চব্বিশ', 'মেট্রো গ বারো দশমিক এক দুই এক দুই চট্টগ্রাম গ বারো দশমিক এক দুই এক দুই', 'দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই চট্ট গ বারো দশমিক এক দুই এক দুই""']"
"""1199 সালের ৬ সেপ্টেম্বর তারিখে পারিবারিক অনুষ্ঠান হবে।""","""এগারোশো নিরানব্বই সালের ছয় সেপ্টেম্বর তারিখে পারিবারিক অনুষ্ঠান হবে। """,False,"['""1199', '৬', 'হবে।""']","['""এগারোশো নিরানব্বই', 'ছয়', 'হবে। ""']"
"""১২৩৪ সালের ১৫ মার্চ,  ভ্রমণ পরিকল্পনা করছি।""","""বারোশো চৌত্রিশ সালের পনেরো মার্চ, ভ্রমণ পরিকল্পনা করছি। """,False,"['""১২৩৪', '১৫', 'করছি।""']","['""বারোশো চৌত্রিশ', 'পনেরো', 'করছি। ""']"
"""১৩০০ সালের ১ জুলাই নতুন ঘর উদ্বোধন করা হবে।""","""তেরোশো সালের এক জুলাই নতুন ঘর উদ্বোধন করা হবে। """,False,"['""১৩০০', '১', 'হবে।""']","['""তেরোশো', 'এক', 'হবে। ""']"
"""১৩৯৯ সালের ২৮ জানুয়ারি একটি ঐতিহাসিক ঘটনার স্মরণ করা হবে।""","""তেরোশো নিরানব্বই সালের আঠাশ জানুয়ারি একটি ঐতিহাসিক ঘটনার স্মরণ করা হবে। """,False,"['""১৩৯৯', '২৮', 'হবে।""']","['""তেরোশো নিরানব্বই', 'আঠাশ', 'হবে। ""']"
"""১৪৫৬ সালের ১০ মে,  আমার দাদার জন্মবার্ষিকী উদযাপন করব।""","""চৌদ্দশো ছাপ্পান্ন সালের দশ মে, আমার দাদার জন্মবার্ষিকী উদযাপন করব। """,False,"['""১৪৫৬', '১০', 'করব।""']","['""চৌদ্দশো ছাপ্পান্ন', 'দশ', 'করব। ""']"
"""১৫০০ সালের ২৮ ফেব্রুয়ারি একটি নাট্য মঞ্চস্থ করা হবে।""","""পনেরোশো সালের আঠাশ ফেব্রুয়ারি একটি নাট্য মঞ্চস্থ করা হবে। """,False,"['""১৫০০', '২৮', 'হবে।""']","['""পনেরোশো', 'আঠাশ', 'হবে। ""']"
"""১৬৭৮ সালের ১২ আগস্ট,  বিশেষ সভা অনুষ্ঠিত হতে যাচ্ছে।""","""ষোলশো আটাত্তর সালের বারো আগস্ট, বিশেষ সভা অনুষ্ঠিত হতে যাচ্ছে। """,False,"['""১৬৭৮', '১২', 'যাচ্ছে।""']","['""ষোলশো আটাত্তর', 'বারো', 'যাচ্ছে। ""']"
"""১৭৫৯ সালের ৫ ডিসেম্বর পিকনিক অনুষ্ঠানের আয়োজন আছে।""","""সতেরোশো ঊনষাট সালের পাঁচ ডিসেম্বর পিকনিক অনুষ্ঠানের আয়োজন আছে। """,False,"['""১৭৫৯', '৫', 'আছে।""']","['""সতেরোশো ঊনষাট', 'পাঁচ', 'আছে। ""']"
"""১৮৩০ সালের ২০ এপ্রিল,  সামাজিক সমাবেশের কথা ভেবেছি।""","""আঠারোশো ত্রিশ সালের বিশ এপ্রিল, সামাজিক সমাবেশের কথা ভেবেছি। """,False,"['""১৮৩০', '২০', 'ভেবেছি।""']","['""আঠারোশো ত্রিশ', 'বিশ', 'ভেবেছি। ""']"
"""১৯০১ সালের ৭ অক্টোবরে বইমেলা শুরু হবে।""","""উনিশশো এক সালের সাত অক্টোবরে বইমেলা শুরু হবে। """,False,"['""১৯০১', '৭', 'হবে।""']","['""উনিশশো এক', 'সাত', 'হবে। ""']"
"""১৯২০ সালের ২৫ জুন বিশেষ ওয়ার্কশপ পরিকল্পনা করছি।""","""উনিশশো বিশ সালের পঁচিশ জুন বিশেষ ওয়ার্কশপ পরিকল্পনা করছি। """,False,"['""১৯২০', '২৫', 'করছি।""']","['""উনিশশো বিশ', 'পঁচিশ', 'করছি। ""']"
"""১৯৪৫ সালের ১৯ জানুয়ারি বিশ্বযুদ্ধ-পরবর্তী আলোচনা হবে।""","""উনিশশো পঁয়তাল্লিশ সালের উনিশ জানুয়ারি বিশ্বযুদ্ধ পরবর্তী আলোচনা হবে। """,False,"['""১৯৪৫', '১৯', 'বিশ্বযুদ্ধ-পরবর্তী', 'হবে।""']","['""উনিশশো পঁয়তাল্লিশ', 'উনিশ', 'বিশ্বযুদ্ধ পরবর্তী', 'হবে। ""']"
"""১৯৮৮ সালের ৩০ নভেম্বর আমার জন্মদিনের অনুষ্ঠান আছে।""","""উনিশশো আটাশি সালের ত্রিশ নভেম্বর আমার জন্মদিনের অনুষ্ঠান আছে। """,False,"['""১৯৮৮', '৩০', 'আছে।""']","['""উনিশশো আটাশি', 'ত্রিশ', 'আছে। ""']"
"""১৯৯৯ সালের ১৫ সেপ্টেম্বর একটি কনসার্ট অনুষ্ঠিত হবে।"" ","""উনিশশো নিরানব্বই সালের পনেরো সেপ্টেম্বর একটি কনসার্ট অনুষ্ঠিত হবে। """,False,"['""১৯৯৯', '১৫', 'হবে।""']","['""উনিশশো নিরানব্বই', 'পনেরো', 'হবে। ""']"
